image_name,tags
train_0,haze
train_1,agriculture
train_2,clear
train_3,clear
train_4,agriculture
train_5,haze
train_6,agriculture
train_7,haze
train_8,agriculture
train_9,agriculture
train_10,agriculture
train_11,clear
train_12,cloudy
train_13,clear
train_14,cloudy
train_15,clear
train_16,clear
train_17,partly_cloudy
train_18,clear
train_19,agriculture
train_20,agriculture
train_21,clear
train_22,partly_cloudy
train_23,agriculture
train_24,conventional_mine
train_25,clear
train_26,cloudy
train_27,agriculture
train_28,clear
train_29,partly_cloudy
train_30,clear
train_31,clear
train_32,agriculture
train_33,agriculture
train_34,clear
train_35,clear
train_36,agriculture
train_37,partly_cloudy
train_38,clear
train_39,clear
train_40,agriculture
train_41,agriculture
train_42,clear
train_43,bare_ground
train_44,clear
train_45,clear
train_46,bare_ground
train_47,clear
train_48,clear
train_49,clear
train_50,cloudy
train_51,clear
train_52,agriculture
train_53,clear
train_54,clear
train_55,partly_cloudy
train_56,clear
train_57,artisinal_mine
train_58,agriculture
train_59,agriculture
train_60,haze
train_61,clear
train_62,clear
train_63,agriculture
train_64,agriculture
train_65,clear
train_66,agriculture
train_67,clear
train_68,cloudy
train_69,clear
train_70,blooming
train_71,clear
train_72,cloudy
train_73,clear
train_74,agriculture
train_75,agriculture
train_76,partly_cloudy
train_77,cloudy
train_78,clear
train_79,clear
train_80,agriculture
train_81,clear
train_82,blooming
train_83,clear
train_84,agriculture
train_85,clear
train_86,clear
train_87,cloudy
train_88,partly_cloudy
train_89,clear
train_90,agriculture
train_91,partly_cloudy
train_92,agriculture
train_93,clear
train_94,agriculture
train_95,clear
train_96,clear
train_97,cloudy
train_98,clear
train_99,partly_cloudy
train_100,bare_ground
train_101,cloudy
train_102,clear
train_103,agriculture
train_104,haze
train_105,clear
train_106,clear
train_107,partly_cloudy
train_108,cloudy
train_109,clear
train_110,clear
train_111,cloudy
train_112,agriculture
train_113,agriculture
train_114,clear
train_115,clear
train_116,agriculture
train_117,clear
train_118,cloudy
train_119,agriculture
train_120,clear
train_121,partly_cloudy
train_122,agriculture
train_123,agriculture
train_124,bare_ground
train_125,agriculture
train_126,agriculture
train_127,clear
train_128,clear
train_129,agriculture
train_130,partly_cloudy
train_131,agriculture
train_132,haze
train_133,haze
train_134,clear
train_135,clear
train_136,haze
train_137,clear
train_138,cloudy
train_139,clear
train_140,clear
train_141,partly_cloudy
train_142,agriculture
train_143,partly_cloudy
train_144,agriculture
train_145,partly_cloudy
train_146,clear
train_147,clear
train_148,agriculture
train_149,clear
train_150,agriculture
train_151,agriculture
train_152,haze
train_153,clear
train_154,clear
train_155,clear
train_156,clear
train_157,agriculture
train_158,agriculture
train_159,agriculture
train_160,partly_cloudy
train_161,partly_cloudy
train_162,agriculture
train_163,clear
train_164,clear
train_165,clear
train_166,clear
train_167,agriculture
train_168,cloudy
train_169,agriculture
train_170,clear
train_171,agriculture
train_172,agriculture
train_173,clear
train_174,cloudy
train_175,clear
train_176,clear
train_177,agriculture
train_178,clear
train_179,cloudy
train_180,haze
train_181,clear
train_182,partly_cloudy
train_183,clear
train_184,partly_cloudy
train_185,agriculture
train_186,clear
train_187,artisinal_mine
train_188,clear
train_189,clear
train_190,clear
train_191,partly_cloudy
train_192,blow_down
train_193,partly_cloudy
train_194,partly_cloudy
train_195,agriculture
train_196,haze
train_197,agriculture
train_198,clear
train_199,agriculture
train_200,clear
train_201,clear
train_202,clear
train_203,cloudy
train_204,clear
train_205,agriculture
train_206,partly_cloudy
train_207,bare_ground
train_208,clear
train_209,agriculture
train_210,partly_cloudy
train_211,clear
train_212,partly_cloudy
train_213,agriculture
train_214,clear
train_215,haze
train_216,agriculture
train_217,bare_ground
train_218,agriculture
train_219,clear
train_220,partly_cloudy
train_221,clear
train_222,agriculture
train_223,clear
train_224,agriculture
train_225,agriculture
train_226,cloudy
train_227,agriculture
train_228,agriculture
train_229,agriculture
train_230,agriculture
train_231,partly_cloudy
train_232,clear
train_233,clear
train_234,cloudy
train_235,clear
train_236,clear
train_237,artisinal_mine
train_238,clear
train_239,bare_ground
train_240,agriculture
train_241,agriculture
train_242,clear
train_243,clear
train_244,clear
train_245,clear
train_246,clear
train_247,agriculture
train_248,haze
train_249,partly_cloudy
train_250,clear
train_251,clear
train_252,clear
train_253,agriculture
train_254,clear
train_255,agriculture
